,artist_name,track_name
19004,glenn miller,the little man who wasn't there
25729,misfits,american psycho
4826,elliott smith,somebody that i used to know
7082,june carter cash,juke box blues
18095,"emerson, lake & palmer","karn evil 9 1st impression, pt. 1"
15584,queens of the stone age,another love song
26158,adema,immortal
943,the supremes,stop! in the name of love
10192,the notting hillbillies,bewildered
23391,sticky fingers,hyper
20195,diana krall,walk on by
26013,mudvayne,dig
6865,the 1975,love it if we made it
10161,little river band,listen to your heart
13374,johnny winter,i'll drown in my tears
1954,freddy fender,please don't tell me how the story ends
2141,boz scaggs,love me tomorrow
18113,"earth, wind & fire",build your nest
17607,nat king cole,o holy night
15600,santana,america (feat. p.o.d.)
12836,ella fitzgerald,for you for me for evermore
18840,julian dash,blue and sentimental
27891,black moon,powaful impak!
22425,the beautiful girls,when i had you with me
7008,gucci mane,rich game
5766,jonas brothers,before the storm
8467,hot tuna,99 year blues
11866,jamey johnson,can't cash my checks
9111,rosanne cash,tennessee flat top box
27263,jaymes young,feel something
25758,ween,cold blows the wind
5795,michael bublé,hold on
17292,louis armstrong,sweet savannah sue
11100,alejandro escovedo,i was drunk
26830,muse,follow me
16864,ron gallo,kill the medicine man
10876,david lee murphy,i could believe anything
7772,hank locklin,i don't hurt anymore
27398,half•alive,runaway
8599,waylon jennings,it'll be her
21098,clinton fearon,version
26646,mgmt,siberian breaks
15056,little walter,don't need no horse
1773,bonnie raitt,i feel the same
2774,billy idol,dead on arrival
20894,devin townsend,spirits will collide
619,the shirelles,putty in your hands
15779,esther phillips,just say goodbye
23987,the who,i'm one
5678,bullet for my valentine,waking the demon
15576,hasil adkins,no more hot dogs
6458,langhorne slim,changes
19017,johnny mercer,it's great to be alive
19775,regina carter,pavane
11129,haystak,on trial
1918,david cassidy,i woke up in love this morning
14663,joe cocker,isolation
407,sam cooke,you're nobody til somebody loves you
5124,puddle of mudd,away from me
22931,dirty heads,disguise
24805,ac/dc,soul stripper
3746,bad religion,modern man
12088,brad paisley,me and jesus (extra special bonus track)
